Year,Total_Production,Fuel_Powered,Hydroelectric,Enterprise_Generators,Generators,Wind,Solar,Waste,Biomass
1913,110.8,,,,,0.0,0.0,0.0,0.0
1920,122.0,,,,,0.0,0.0,0.0,0.0
1930,503.9,,,,,0.0,0.0,0.0,0.0
1940,1826.3,1802.0,24.3,,,0.0,0.0,0.0,0.0
1950,2923.5,2894.0,29.5,,,0.0,0.0,0.0,0.0
1960,6589.0,4626.0,1963.0,,,0.0,0.0,0.0,0.0
1970,12026.7,10893.0,1022.0,111.7,,0.0,0.0,0.0,0.0
1980,15045.2,13825.0,1098.0,122.2,,0.0,0.0,0.0,0.0
1990,23152.6,21399.0,1658.0,95.6,,0.0,0.0,0.0,0.0
1995,17043.6,15401.0,1556.0,86.6,,0.0,0.0,0.0,0.0
2000,18699.1,17069.0,1534.0,83.1,13.0,0.0,0.0,0.0,0.0
2001,18969.100000000002,17521.0,1301.0,131.2,15.9,0.0,0.0,0.0,0.0
2002,18700.6,16558.0,2020.0,103.8,18.8,0.0,0.0,0.0,0.0
2003,21286.300000000003,18681.0,2470.0,104.9,30.4,0.0,0.0,0.0,0.0
2004,21743.2,18589.0,2755.0,365.4,33.8,0.0,0.0,0.0,0.0
2005,22871.5,19344.0,3009.0,430.5,88.0,0.0,0.0,0.0,0.0
2006,24542.7,21407.0,2518.0,475.9,141.8,0.0,0.0,0.0,0.0
2007,21847.0,19051.0,2364.0,432.0,,0.0,0.0,0.0,0.0
2008,21641.6,19090.0,2232.0,319.6,,0.0,0.0,0.0,0.0
2009,18868.3,16289.0,2308.0,269.2,,2.1,0.0,0.0,0.0
2010,18709.2,15003.0,3446.0,259.7,,0.5,0.0,0.0,0.0
2011,20294.0,17317.0,2676.0,301.0,,0.0,0.0,0.0,0.0
2012,22988.0,19537.0,1821.0,1630.0,,0.0,0.0,0.0,0.0
2013,23354.4,20065.6,1489.1,1664.0,,0.8,0.8,134.1,0.0
2014,24727.7,21401.2,1299.7,1848.1,,2.3,2.9,173.5,0.0
2015,24688.4,20904.6,1637.5,1955.3,,4.6,4.6,181.8,0.0005
2016,24952.9,20699.0,1959.3,2062.0,,22.8,35.3,174.5,0.0002
2017,24320.9,20445.4,1746.4,1899.5,,22.1,37.2,170.3,0.0004
2018,25229.2,21242.9,1768.0,1934.1,,82.7,39.3,162.2,0.0006
2019,26072.9,22289.7,1564.8,1872.9,,105.4,44.2,195.9,0.0
2020,25839.1,22471.3,1069.5,1954.6,,96.1,47.0,200.6,0.0
2021,27887.800000000003,24308.8,1277.3,1961.9,,91.4,55.2,193.2,0.0
2022,29039.8,25137.4,1595.7,1957.2,,83.3,60.9,205.3,0.0
2023,29305.9,25237.9,1763.4,1945.5,,55.4,80.7,223.0,0.0
2024,28412.600000000002,22683.2,3008.3,1881.3,,50.9,556.4,232.5,0.0
